
    ___  __          __
   / _ )/ /_ _____  / /__
  / _  / / // / _ \/  '_/
 /____/_/\_, /_//_/_/\_\
        /___/ for Python v0.2.0 (Linux)

Welcome to the 4Runner MOC, powered by Raspberry Pi
Left Side LED Status: 1
Left Side LED Status: 0
Ditch Light LED Status: 1
Ditch Light LED Status: 0
Left Side LED Status: 1
Left Side LED Status: 0
Traceback (most recent call last):
  File "automoc_local.py", line 60, in <module>
    blynk.run()
  File "/usr/local/lib/python2.7/dist-packages/BlynkLib.py", line 246, in run
    data = self.conn.recv(self.buffin)
KeyboardInterrupt

    ___  __          __
   / _ )/ /_ _____  / /__
  / _  / / // / _ \/  '_/
 /____/_/\_, /_//_/_/\_\
        /___/ for Python v0.2.0 (Linux)

Welcome to the 4Runner MOC, powered by Raspberry Pi
$GNGGA,135116.00,4738.46802,N,12219.68111,W,2,12,0.80,13.2,M,-18.8,M,,0000*43
$GNGGA,135131.00,4738.46845,N,12219.68128,W,2,12,0.80,12.8,M,-18.8,M,,0000*44
$GNGGA,135146.00,4738.46859,N,12219.68147,W,2,12,0.73,12.9,M,-18.8,M,,0000*4D
$GNGGA,135201.00,4738.46848,N,12219.68165,W,2,12,0.73,13.7,M,-18.8,M,,0000*42
$GNGGA,135216.00,4738.46874,N,12219.68240,W,2,12,0.70,14.9,M,-18.8,M,,0000*45
$GNGGA,135231.00,4738.46895,N,12219.68250,W,2,12,0.70,16.0,M,-18.8,M,,0000*45
$GNGGA,135246.00,4738.46898,N,12219.68231,W,2,12,0.70,17.5,M,-18.8,M,,0000*4B
$GNGGA,135301.00,4738.46919,N,12219.68180,W,2,12,0.70,19.5,M,-18.8,M,,0000*46
$GNGGA,135316.00,4738.46918,N,12219.68135,W,2,12,0.70,20.6,M,-18.8,M,,0000*46
$GNGGA,135331.00,4738.46904,N,12219.68084,W,2,12,0.70,20.3,M,-18.8,M,,0000*40
$GNGGA,135346.00,4738.46924,N,12219.68035,W,2,12,0.77,17.4,M,-18.8,M,,0000*4C
$GNGGA,135401.00,4738.46963,N,12219.68001,W,2,12,0.75,14.1,M,-18.8,M,,0000*48
$GNGGA,135416.00,4738.46986,N,12219.67983,W,2,12,0.79,11.1,M,-18.8,M,,0000*40
$GNGGA,135431.00,4738.47011,N,12219.67900,W,2,12,0.70,10.2,M,-18.8,M,,0000*43
$GNGGA,135446.00,4738.47034,N,12219.67902,W,2,12,0.71,8.2,M,-18.8,M,,0000*7E
$GNGGA,135501.00,4738.47069,N,12219.67883,W,2,12,0.72,7.4,M,-18.8,M,,0000*76
$GNGGA,135516.00,4738.47073,N,12219.67877,W,2,12,0.78,8.0,M,-18.8,M,,0000*71
$GNGGA,135532.00,4738.47057,N,12219.67898,W,2,12,0.76,10.0,M,-18.8,M,,0000*47
$GNGGA,135547.00,4738.47047,N,12219.67963,W,2,12,0.76,11.2,M,-18.8,M,,0000*42
$GNGGA,135602.00,4738.46998,N,12219.68028,W,2,12,0.76,14.1,M,-18.8,M,,0000*45
$GNGGA,135617.00,4738.46963,N,12219.68045,W,2,12,0.71,16.7,M,-18.8,M,,0000*4D
$GNGGA,135632.00,4738.46936,N,12219.68049,W,2,12,0.71,18.8,M,-18.8,M,,0000*47
$GNGGA,135647.00,4738.46906,N,12219.68057,W,2,12,0.71,19.5,M,-18.8,M,,0000*45
$GNGGA,135702.00,4738.46907,N,12219.68060,W,2,12,0.71,18.6,M,-18.8,M,,0000*42
$GNGGA,135717.00,4738.46901,N,12219.68092,W,2,12,0.76,16.9,M,-18.8,M,,0000*4B
$GNGGA,135732.00,4738.46905,N,12219.68151,W,2,12,0.88,15.1,M,-18.8,M,,0000*4C
$GNGGA,135747.00,4738.46922,N,12219.68150,W,2,12,0.80,13.9,M,-18.8,M,,0000*4C
$GNGGA,135802.00,4738.46912,N,12219.68084,W,2,12,0.78,15.8,M,-18.8,M,,0000*49
$GNGGA,135817.00,4738.46807,N,12219.68009,W,2,12,0.78,16.8,M,-18.8,M,,0000*4E
$GNGGA,135832.00,4738.46747,N,12219.68033,W,2,12,0.78,17.0,M,-18.8,M,,0000*42
$GNGGA,135847.00,4738.46775,N,12219.68062,W,2,12,0.78,15.8,M,-18.8,M,,0000*4F
$GNGGA,135902.00,4738.46761,N,12219.68072,W,2,12,0.84,16.5,M,-18.8,M,,0000*46
$GNGGA,135917.00,4738.46796,N,12219.68051,W,2,12,0.78,16.9,M,-18.8,M,,0000*44
$GNGGA,135932.00,4738.46826,N,12219.68033,W,2,12,0.78,17.7,M,-18.8,M,,0000*4C
$GNGGA,135947.00,4738.46894,N,12219.68041,W,2,12,0.78,16.3,M,-18.8,M,,0000*47
$GNGGA,140002.00,4738.46929,N,12219.68073,W,2,12,0.71,16.5,M,-18.8,M,,0000*44
$GNGGA,140018.00,4738.46890,N,12219.68081,W,2,12,0.71,19.2,M,-18.8,M,,0000*49
$GNGGA,140033.00,4738.46827,N,12219.68076,W,2,12,0.65,20.3,M,-18.8,M,,0000*4A
$GNGGA,140048.00,4738.46798,N,12219.68135,W,2,12,0.67,19.9,M,-18.8,M,,0000*49
$GNGGA,140103.00,4738.46747,N,12219.68171,W,2,12,0.66,18.8,M,-18.8,M,,0000*44
$GNGGA,140118.00,4738.46713,N,12219.68188,W,2,12,0.66,20.5,M,-18.8,M,,0000*4F
$GNGGA,140133.00,4738.46732,N,12219.68280,W,2,12,0.66,21.2,M,-18.8,M,,0000*48
$GNGGA,140148.00,4738.46761,N,12219.68354,W,2,12,0.68,19.7,M,-18.8,M,,0000*4A
$GNGGA,140203.00,4738.46768,N,12219.68394,W,2,12,0.72,17.5,M,-18.8,M,,0000*44
$GNGGA,140218.00,4738.46795,N,12219.68387,W,2,12,0.75,15.2,M,-18.8,M,,0000*4C
$GNGGA,140233.00,4738.46786,N,12219.68354,W,2,12,0.75,13.3,M,-18.8,M,,0000*4E
$GNGGA,140248.00,4738.46758,N,12219.68311,W,2,12,0.75,11.9,M,-18.8,M,,0000*48
$GNGGA,140303.00,4738.46774,N,12219.68276,W,2,12,0.75,11.6,M,-18.8,M,,0000*47
$GNGGA,140318.00,4738.46778,N,12219.68214,W,2,12,0.75,10.1,M,-18.8,M,,0000*43
$GNGGA,140333.00,4738.46799,N,12219.68142,W,2,12,0.70,12.6,M,-18.8,M,,0000*45
$GNGGA,140348.00,4738.46798,N,12219.68084,W,2,12,0.75,14.2,M,-18.8,M,,0000*44
$GNGGA,140403.00,4738.46809,N,12219.68059,W,2,12,0.70,15.1,M,-18.8,M,,0000*4C
$GNGGA,140418.00,4738.46787,N,12219.68059,W,2,12,0.70,17.9,M,-18.8,M,,0000*45
$GNGGA,140434.00,4738.46793,N,12219.68094,W,2,12,0.70,18.6,M,-18.8,M,,0000*4F
$GNGGA,140449.00,4738.46804,N,12219.68199,W,2,12,0.70,18.4,M,-18.8,M,,0000*4A
$GNGGA,140504.00,4738.46818,N,12219.68269,W,2,12,0.73,17.5,M,-18.8,M,,0000*4E
$GNGGA,140519.00,4738.46828,N,12219.68302,W,2,12,0.70,17.9,M,-18.8,M,,0000*42
$GNGGA,140534.00,4738.46843,N,12219.68297,W,2,12,0.73,17.4,M,-18.8,M,,0000*43
$GNGGA,140549.00,4738.46858,N,12219.68294,W,2,12,0.84,17.0,M,-18.8,M,,0000*4C
$GNGGA,140604.00,4738.46866,N,12219.68311,W,2,12,0.82,15.9,M,-18.8,M,,0000*4A
$GNGGA,140619.00,4738.46898,N,12219.68314,W,2,12,0.85,14.9,M,-18.8,M,,0000*44
$GNGGA,140634.00,4738.46931,N,12219.68261,W,2,12,0.75,13.8,M,-18.8,M,,0000*43
$GNGGA,140649.00,4738.46948,N,12219.68212,W,2,12,0.70,13.9,M,-18.8,M,,0000*47
$GNGGA,140704.00,4738.46960,N,12219.68171,W,2,12,0.70,15.6,M,-18.8,M,,0000*4A
Alarm Status: 1
Disabling Fuel Pump in 30 Seconds
Disabling Fuel Pump
$GNGGA,140735.00,4738.46915,N,12219.68114,W,2,12,0.75,17.9,M,-18.8,M,,0000*41
Alarm Status: 0
$GNGGA,140750.00,4738.46928,N,12219.68096,W,2,12,0.70,16.6,M,-18.8,M,,0000*4C
$GNGGA,140805.00,4738.46938,N,12219.68078,W,2,12,0.70,14.3,M,-18.8,M,,0000*45
$GNGGA,140820.00,4738.46937,N,12219.68098,W,2,12,0.70,15.0,M,-18.8,M,,0000*41
$GNGGA,140835.00,4738.46897,N,12219.68125,W,2,12,0.70,15.8,M,-18.8,M,,0000*41
$GNGGA,140850.00,4738.46861,N,12219.68159,W,2,12,0.70,15.1,M,-18.8,M,,0000*49
$GNGGA,140905.00,4738.46859,N,12219.68219,W,2,12,0.70,15.0,M,-18.8,M,,0000*45
